X,Y,GEO_ID,STATE,COUNTY,NAME,LSAD,CENSUSAREA,elevation,
-73.32480682,41.32444698,0500000US09001,9,1,Fairfield,County,624.89,223.9,2776.71
-72.74452702,41.79457148,0500000US09003,9,3,Hartford,County,735.097,201.46,
-73.25980375,41.76008865,0500000US09005,9,5,Litchfield,County,920.56,844.85,
-72.52302629,41.45578372,0500000US09007,9,7,Middlesex,County,369.301,234.46,
-72.90785334,41.40661933,0500000US09009,9,9,New Haven,County,604.506,196.93,
-72.05607613,41.49208142,0500000US09011,9,11,New London,County,664.878,158.66,
-72.31897417,41.81096251,0500000US09013,9,13,Tolland,County,410.214,544.84,
-71.97909371,41.83273352,0500000US09015,9,15,Windham,County,512.91,421.55,
-75.57321138,39.09716791,0500000US10001,10,1,Kent,County,586.179,33.34,
-75.67439844,39.56476084,0500000US10003,10,3,New Castle,County,426.286,124.33,
-75.39324045,38.70631255,0500000US10005,10,5,Sussex,County,936.079,19.76,
-70.2029474,44.19667645,0500000US23001,23,1,Androscoggin,County,467.927,272.35,
-68.30422729,46.54175651,0500000US23003,23,3,Aroostook,County,6671.33,628.11,
-70.41353605,43.84876929,0500000US23005,23,5,Cumberland,County,835.241,177.11,
-70.46768638,45.07329619,0500000US23007,23,7,Franklin,County,1696.609,1236.84,
-68.33563717,44.73625364,0500000US23009,23,9,Hancock,County,1586.893,162.94,
-69.78809921,44.42921428,0500000US23011,23,11,Kennebec,County,867.524,271.33,
-69.19233787,44.13899727,0500000US23013,23,13,Knox,County,365.134,128.74,
-69.53416579,44.06631355,0500000US23015,23,15,Lincoln,County,455.818,65.55,
-70.65494853,44.56715635,0500000US23017,23,17,Oxford,County,2076.84,1012.12,
-68.43241761,45.51983354,0500000US23019,23,19,Penobscot,County,3397.362,301.28,
-69.27244721,45.79299219,0500000US23021,23,21,Piscataquis,County,3960.856,1024.77,
-69.79273653,43.93536675,0500000US23023,23,23,Sagadahoc,County,253.695,49.86,
-70.12588382,45.57680717,0500000US23025,23,25,Somerset,County,3924.403,1078.93,
-69.08862942,44.5004582,0500000US23027,23,27,Waldo,County,729.918,272.74,
-67.54719679,45.03926525,0500000US23029,23,29,Washington,County,2562.66,164.06,
-70.66466649,43.43708679,0500000US23031,23,31,York,County,990.713,204.15,
-78.595536,39.58091075,0500000US24001,24,1,Allegany,County,424.158,1140.98,
-76.57735097,38.97538634,0500000US24003,24,3,Anne Arundel,County,414.902,71.64,
-76.63661633,39.45794444,0500000US24005,24,5,Baltimore,County,598.302,290.59,
-76.5961671,38.53648121,0500000US24009,24,9,Calvert,County,213.152,88.46,
-75.83488991,38.88756862,0500000US24011,24,11,Caroline,County,319.419,35.82,
-77.01286588,39.53603589,0500000US24013,24,13,Carroll,County,447.595,674.56,
-75.87351612,39.54093499,0500000US24015,24,15,Cecil,County,346.273,155,
-77.03332625,38.47915908,0500000US24017,24,17,Charles,County,457.749,130.95,
-76.07295799,38.4604097,0500000US24019,24,19,Dorchester,County,540.765,3,
-77.36785341,39.46954602,0500000US24021,24,21,Frederick,County,660.221,440.99,
-79.28949856,39.46404524,0500000US24023,24,23,Garrett,County,647.103,2277.14,
-76.28537607,39.51158322,0500000US24025,24,25,Harford,County,437.089,234.07,
-76.89247931,39.23547661,0500000US24027,24,27,Howard,County,250.741,381.77,
-76.15959317,39.19642784,0500000US24029,24,29,Kent,County,277.03,34.33,
-77.23884484,39.14418626,0500000US24031,24,31,Montgomery,County,491.254,383.66,
-76.84226145,38.83355592,0500000US24033,24,33,Prince George's,County,482.691,157.13,
-76.02765997,39.05036947,0500000US24035,24,35,Queen Anne's,County,371.908,21.75,
-76.59880254,38.27666326,0500000US24037,24,37,St. Mary's,County,357.18,5.64,
-75.70013192,38.10506049,0500000US24039,24,39,Somerset,County,319.723,34.6,
-76.16736085,38.75825716,0500000US24041,24,41,Talbot,County,268.538,14,
-77.72047725,39.52048981,0500000US24043,24,43,Washington,County,457.78,577.78,
-75.58183257,38.3941741,0500000US24045,24,45,Wicomico,County,374.444,22.61,
-75.36240822,38.22206582,0500000US24047,24,47,Worcester,County,468.281,10.82,
-76.62044854,39.28336195,0500000US24510,24,510,Baltimore,city,80.944,176.39,
-69.97363582,41.79736426,0500000US25001,25,1,Barnstable,County,393.723,24.86,
-73.19980487,42.39873328,0500000US25003,25,3,Berkshire,County,926.825,1256.54,
-71.17784458,41.79729943,0500000US25005,25,5,Bristol,County,553.096,81.17,
-70.61848559,41.39163692,0500000US25007,25,7,Dukes,County,103.245,52.43,
-70.91738912,42.6505143,0500000US25009,25,9,Essex,County,492.563,78.45,
-72.56196352,42.51935097,0500000US25011,25,11,Franklin,County,699.319,818.47,
-72.62933268,42.17247794,0500000US25013,25,13,Hampden,County,617.14,332.13,
-72.71419676,42.37010594,0500000US25015,25,15,Hampshire,County,527.255,468.88,
-71.28842274,42.44699347,0500000US25017,25,17,Middlesex,County,817.817,173.02,
-70.01823492,41.31793513,0500000US25019,25,19,Nantucket,County,44.97,27.58,
-71.20290845,42.15648254,0500000US25021,25,21,Norfolk,County,396.105,147.6,
-70.86112308,41.96732531,0500000US25023,25,23,Plymouth,County,659.075,59.89,
-71.06071296,42.33891921,0500000US25025,25,25,Suffolk,County,58.154,61.35,
-71.95791668,42.36550242,0500000US25027,25,27,Worcester,County,1510.77,673.66,
-71.43523116,43.52233981,0500000US33001,33,1,Belknap,County,400.232,668.3,
-71.2774955,43.88533591,0500000US33003,33,3,Carroll,County,931.061,1050.08,
-72.29751237,42.94754977,0500000US33005,33,5,Cheshire,County,706.66,919.14,
-71.31472229,44.69545932,0500000US33007,33,7,Coos,County,1794.685,1795.85,
-71.73359278,43.96782177,0500000US33009,33,9,Grafton,County,1708.749,1190.27,
-71.72067237,42.95651364,0500000US33011,33,11,Hillsborough,County,876.139,515.09,
-71.68040467,43.30757378,0500000US33013,33,13,Merrimack,County,934.116,641.03,
-72.23723344,43.36508426,0500000US33019,33,19,Sullivan,County,537.313,1150.41,
-71.05908786,43.32716927,0500000US33017,33,17,Strafford,County,368.975,330.1,
-71.06804097,43.00584426,0500000US33015,33,15,Rockingham,County,694.72,217.36,
-74.68275681,39.51008719,0500000US34001,34,1,Atlantic,County,555.704,26.71,
-74.02823961,40.94539027,0500000US34003,34,3,Bergen,County,233.009,144.21,
-74.68225917,39.86481921,0500000US34005,34,5,Burlington,County,798.576,49.74,
-74.98995119,39.80206445,0500000US34007,34,7,Camden,County,221.263,77.47,
-74.79949792,39.12671682,0500000US34009,34,9,Cape May,County,251.425,8.74,
-75.12462558,39.37299614,0500000US34011,34,11,Cumberland,County,483.703,24.88,
-74.25534869,40.79112386,0500000US34013,34,13,Essex,County,126.212,167.24,
-75.14581546,39.70117083,0500000US34015,34,15,Gloucester,County,322.005,72.23,
-74.06884579,40.73298963,0500000US34017,34,17,Hudson,County,46.191,52.79,
-74.9124434,40.56383905,0500000US34019,34,19,Hunterdon,County,427.819,324.99,
-74.68196757,40.28065938,0500000US34021,34,21,Mercer,County,224.557,137.76,
-74.40043109,40.43062846,0500000US34023,34,23,Middlesex,County,308.914,72.18,
-74.1908743,40.27743083,0500000US34025,34,25,Monmouth,County,468.793,45.37,
-74.57171585,40.86736358,0500000US34027,34,27,Morris,County,460.177,532.69,
-74.25601954,39.83899302,0500000US34029,34,29,Ocean,County,628.781,31.91,
-74.30791206,41.01154404,0500000US34031,34,31,Passaic,County,184.593,335.88,
-75.30596888,39.5850575,0500000US34033,34,33,Salem,County,331.899,41.3,
-74.62495014,40.56632894,0500000US34035,34,35,Somerset,County,301.813,202.65,
-74.70052367,41.12767269,0500000US34037,34,37,Sussex,County,519.014,701.39,
-74.27344801,40.66589486,0500000US34039,34,39,Union,County,102.855,114.17,
-74.95958441,40.8421539,0500000US34041,34,41,Warren,County,356.918,495.74,
-73.97719629,42.61658903,0500000US36001,36,1,Albany,County,522.804,265.9,
-78.02375208,42.25211899,0500000US36003,36,3,Allegany,County,1029.308,1645,
-73.86039548,40.8516185,0500000US36005,36,5,Bronx,County,42.096,75.18,
-78.68483774,42.3018115,0500000US36009,36,9,Cattaraugus,County,1308.35,1492.13,
-76.60219772,43.01924639,0500000US36011,36,11,Cayuga,County,691.582,572.7,
-79.40017318,42.27728644,0500000US36013,36,13,Chautauqua,County,1060.226,1224.95,
-75.6347606,42.47042755,0500000US36017,36,17,Chenango,County,893.548,1123.2,
-74.94720735,42.17820794,0500000US36025,36,25,Delaware,County,1442.44,1542.19,
-73.74885388,44.14507501,0500000US36031,36,31,Essex,County,1794.228,1806.93,
-74.50619455,43.69375013,0500000US36041,36,41,Hamilton,County,1717.373,1847.1,
-75.81255855,44.03525802,0500000US36045,36,45,Jefferson,County,1268.59,460.57,
-77.78136607,42.73018513,0500000US36051,36,51,Livingston,County,631.763,1011.21,
-75.72625206,42.95020357,0500000US36053,36,53,Madison,County,654.842,987.3,
-73.56939877,40.74799686,0500000US36059,36,59,Nassau,County,284.716,98.59,
-78.75649755,43.19554995,0500000US36063,36,63,Niagara,County,522.359,517.95,
-75.4969919,43.24013588,0500000US36065,36,65,Oneida,County,1212.429,808.24,
-76.2027726,43.020816,0500000US36067,36,67,Onondaga,County,778.39,676.12,
-74.33128213,41.38871705,0500000US36071,36,71,Orange,County,811.686,497.24,
-76.21105853,43.43545638,0500000US36075,36,75,Oswego,County,951.65,518.04,
-74.98947822,42.61177951,0500000US36077,36,77,Otsego,County,1001.7,1487.27,
-73.79429321,40.67410581,0500000US36081,36,81,Queens,County,108.532,52.3,
-73.84589607,43.08816416,0500000US36091,36,91,Saratoga,County,809.984,542.45,
-72.90844458,40.88749556,0500000US36103,36,103,Suffolk,County,912.051,38.5,
-74.79094105,41.71972138,0500000US36105,36,105,Sullivan,County,968.132,1583.45,
-73.90656163,43.5117483,0500000US36113,36,113,Warren,County,866.952,724.9,
-73.43021647,43.37440189,0500000US36115,36,115,Washington,County,831.184,399.27,
-73.78532955,41.12196409,0500000US36119,36,119,Westchester,County,430.497,236.74,
-77.13063866,42.61527451,0500000US36123,36,123,Yates,County,338.143,808.67,
-77.28195292,42.80644909,0500000US36069,36,69,Ontario,County,644.065,867.06,
-78.22962559,43.25269748,0500000US36073,36,73,Orleans,County,391.259,506.35,
-73.75485617,41.42237185,0500000US36079,36,79,Putnam,County,230.312,375.25,
-73.48951924,42.71373032,0500000US36083,36,83,Rensselaer,County,652.431,432.26,
-75.86183965,42.20671599,0500000US36007,36,7,Broome,County,705.766,1178.08,
-76.76215917,42.14657292,0500000US36015,36,15,Chemung,County,407.352,907.27,
-73.67644951,44.71738146,0500000US36019,36,19,Clinton,County,1037.852,660.88,
-73.64136058,42.24381143,0500000US36021,36,21,Columbia,County,634.705,409.35,
-76.07133176,42.59491601,0500000US36023,36,23,Cortland,County,498.76,1390.25,
-73.72702614,41.75936367,0500000US36027,36,27,Dutchess,County,795.63,308.72,
-74.25760028,44.56056763,0500000US36033,36,33,Franklin,County,1629.119,1218.4,
-74.42684716,43.13510359,0500000US36035,36,35,Fulton,County,495.469,912.44,
-78.18647157,43.00005704,0500000US36037,36,37,Genesee,County,492.936,823.06,
-74.13181934,42.28000662,0500000US36039,36,39,Greene,County,647.161,1199.14,
-74.94121311,43.46513467,0500000US36043,36,43,Herkimer,County,1411.47,1253.56,
-73.941813,40.65305773,0500000US36047,36,47,Kings,County,70.816,43.58,
-75.49147801,43.83965062,0500000US36049,36,49,Lewis,County,1274.679,1102.1,
-77.6857378,43.15561851,0500000US36055,36,55,Monroe,County,657.205,521.59,
-74.41983976,42.90958965,0500000US36057,36,57,Montgomery,County,403.043,467.43,
-73.95959683,40.78108658,0500000US36061,36,61,New York,County,22.829,49.46,
-74.14597168,40.57198322,0500000US36085,36,85,Richmond,County,58.37,46.76,
-74.05734927,41.1607623,0500000US36087,36,87,Rockland,County,173.55,357.27,
-75.16590596,44.52549282,0500000US36089,36,89,St. Lawrence,County,2680.377,847.98,
-74.04475213,42.83132623,0500000US36093,36,93,Schenectady,County,204.516,296.44,
-74.43478841,42.59441996,0500000US36095,36,95,Schoharie,County,621.819,1496,
-76.89574158,42.38982101,0500000US36097,36,97,Schuyler,County,328.333,1134.44,
-76.85791971,42.78231642,0500000US36099,36,99,Seneca,County,323.705,873.33,
-77.41840336,42.29311205,0500000US36101,36,101,Steuben,County,1390.559,1313.81,
-76.31067201,42.20453152,0500000US36107,36,107,Tioga,County,518.602,957.74,
-76.47280438,42.44642744,0500000US36109,36,109,Tompkins,County,474.649,912.5,
-77.04141515,43.17272099,0500000US36117,36,117,Wayne,County,603.826,418.33,
-78.20988378,42.696411,0500000US36121,36,121,Wyoming,County,592.746,1354.68,
-78.66762418,42.76802183,0500000US36029,36,29,Erie,County,1042.693,707.08,
-74.20354505,41.87965255,0500000US36111,36,111,Ulster,County,1124.235,486.8,
-78.48297741,40.02702894,0500000US42009,42,9,Bedford,County,1012.296,1236.38,
-75.92821435,40.40380687,0500000US42011,42,11,Berks,County,856.506,423.45,
-78.34839612,40.49255511,0500000US42013,42,13,Blair,County,525.8,1212.05,
